iso3,year,rent_pct_gdp
PRE,2016,11.2171192290807
PRI,2016,0.0
PRT,2016,0.158382699146323
PRY,2016,1.89364402448299
PSE,2016,0.0
PSS,2016,2.70814925190435
PST,2016,0.355245292329762
PYF,2016,0.0050998894795793
QAT,2016,15.9817678598717
ROU,2016,0.688993508362941
RUS,2016,8.19418914130003
RWA,2016,5.99862102587479
SAS,2016,1.51523827331872
SAU,2016,20.7349959872418
SDN,2016,2.74050635867162
SEN,2016,3.9796411050175
SGP,2016,0.029353972319112
SLB,2016,14.3004643478535
SLE,2016,14.6732645434772
SLV,2016,1.0221138126124
SMR,2016,0.0
SOM,2016,19.5454511774019
SRB,2016,1.17155898842791
SSA,2016,6.75778320845378
SSF,2016,6.75089728507586
SST,2016,4.00738206925901
STP,2016,3.27531389837999
SUR,2016,15.0617975898749
SVK,2016,0.261669771629207
SVN,2016,0.261246243560769
SWE,2016,0.722466863316197
SWZ,2016,4.60471033148777
SXM,2016,0.0
SYC,2016,0.0990332020466637
SYR,2016,3.17208654310089
TCA,2016,0.0052020184345093
TCD,2016,13.110061160108
TEA,2016,1.35868000221511
TEC,2016,4.41034272909079
TGO,2016,9.003109569313
THA,2016,1.5532188768547
TJK,2016,3.80725838932103
TKM,2016,9.65761604863881
TLA,2016,2.26869641727196
TLS,2016,44.5556159738805
TMN,2016,10.8576836912259
TON,2016,0.0453861467678001
TSA,2016,1.51523827331872
TSS,2016,6.75089728507586
TTO,2016,4.12214241273861
TUN,2016,2.18515588296029
TUR,2016,0.381853603415781
TUV,2016,0.0
TZA,2016,5.61603835789229
UGA,2016,12.7336513052995
UKR,2016,2.39942596673544
UMC,2016,2.28547881730599
URY,2016,1.74168715941962
USA,2016,0.303325431060077
UZB,2016,6.72025279446491
VCT,2016,0.0407859033307733
VIR,2016,0.440640386181765
VNM,2016,2.68357593807147
VUT,2016,0.816331822730397
WLD,2016,1.55307632268732
WSM,2016,0.425429774129313
XKX,2016,0.394911793338711
YEM,2016,0.786200059542649
ZAF,2016,3.56159906611897
ZMB,2016,11.6772125402718
ZWE,2016,4.49541367401877
ABW,2017,0.0028271906386295
AFE,2017,7.71882699625691
AFG,2017,0.702981728943138
AFW,2017,8.84424239083733
AGO,2017,25.9503299089307
ALB,2017,1.34604237945034
AND,2017,0.0
ARB,2017,18.2149164572561
ARE,2017,14.3278424370326
ARG,2017,1.02056616793198
ARM,2017,0.245815847777951
ASM,2017,0.0
ATG,2017,0.0
AUS,2017,5.06804774011339
AUT,2017,0.121957004315667
AZE,2017,19.6746501247433
BDI,2017,18.5076749744059
BEL,2017,0.0371502006793434
BEN,2017,4.09835325309901
BFA,2017,12.3099089646115
BGD,2017,0.710420009979719
BGR,2017,0.749247066231762
BHR,2017,11.1603274625829
BHS,2017,0.017196510578808
BIH,2017,1.28162139967933
BLR,2017,1.56417583319201
BLZ,2017,0.740544655771488
BMU,2017,0.0
BOL,2017,5.01456692473101
BRA,2017,2.73375767842298
BRB,2017,0.13228226291345
BRN,2017,17.1505902720615
BTN,2017,3.36403341231926
BWA,2017,0.880112468848718
CAF,2017,13.4175903775497
CAN,2017,1.19690470285221
CEB,2017,1.46879507199418
CHE,2017,0.0097955876053815
CHL,2017,5.30261792520974
CHN,2017,1.31423766724865
CIV,2017,3.38876801583982
CMR,2017,6.08352640758934
COD,2017,24.7656558437341
COG,2017,29.8063807729514
COL,2017,3.72823321108347
COM,2017,2.36385311111587
CPV,2017,12.3203094483764
CRI,2017,1.13383955527767
CSS,2017,3.84529838756858
CUB,2017,0.66367803344131
CUW,2017,0.0
CYM,2017,0.0
CYP,2017,0.0053914863858221
CZE,2017,0.372292874562504
DEU,2017,0.0682636663146081
DJI,2017,0.571398008790601
DMA,2017,0.0559454272358846
DNK,2017,0.470200711781742
DOM,2017,1.03534454096242
DZA,2017,15.372392970843
EAP,2017,1.65469392040934
EAR,2017,4.85127784624077
EAS,2017,1.35341990817614
ECA,2017,3.75328553512035
ECS,2017,1.29123129726433
ECU,2017,4.98372023451617
EGY,2017,5.69886428656261
EMU,2017,0.0981571885708752
ESP,2017,0.0530656069147325
EST,2017,1.73343641223467
ETH,2017,9.87787063669115
EUU,2017,0.265491527814461
FCS,2017,12.8147199194095
FIN,2017,0.453771651187102
FJI,2017,1.26650249477929
FRA,2017,0.0362250443838789
FRO,2017,0.0
FSM,2017,0.0385320066214341
GAB,2017,17.699784026005
GBR,2017,0.397885220213493
GEO,2017,0.472314027913239
GHA,2017,10.3700404312643
GIN,2017,18.9531246230915
GMB,2017,6.49323709656864
GNB,2017,15.9857332638944
GNQ,2017,21.9589067386853
GRC,2017,0.107741216363758
GRD,2017,0.0
GRL,2017,0.0
GTM,2017,1.50289202380162
GUM,2017,0.0
GUY,2017,13.161642595363
HIC,2017,1.41831305718629
HKG,2017,0.0016190390208223
HND,2017,1.72906722467945
HPC,2017,8.90071609926254
HRV,2017,0.658339390527416
HTI,2017,0.657342723836906
HUN,2017,0.282558589313256
