iso3,curr_renew,curr_co2,new_renew,new_co2,delta_co2,pct_reduction
NPL,84.0,0.26018976751021883,104.0,0.25988758580831417,-0.000302181701904658,0.11613896457046104
NPL,84.0,0.26018976751021894,114.0,0.2598875858083141,-0.0003021817019048245,0.116138964570525
NPL,84.0,0.26018976751021894,134.0,0.25988758580831417,-0.000302181701904769,0.11613896457050366
NZL,28.3,8.061436325024136,38.3,8.029723289896864,-0.03171303512727164,0.39339187024065075
NZL,28.3,8.061436325024136,48.3,8.029723289896864,-0.03171303512727164,0.39339187024065075
NZL,28.3,8.061436325024136,58.3,8.029723289896864,-0.03171303512727164,0.39339187024065075
NZL,28.3,8.061436325024138,78.3,8.029723289896863,-0.03171303512727519,0.3933918702406948
OMN,0.0,18.20396261308883,10.0,17.757247550505372,-0.4467150625834577,2.4539440784297435
OMN,0.0,18.203962613088837,20.0,17.730238732305374,-0.4737238807834636,2.602311874903826
OMN,0.0,18.20396261308883,30.0,17.69929256423871,-0.5046700488501195,2.7723087526407943
OMN,0.0,18.203962613088837,50.0,17.68020709925666,-0.5237555138321781,2.877151117941719
PAK,47.2,0.7355398164719775,57.2,0.7335811593230886,-0.001958657148888876,0.26628839187572334
PAK,47.2,0.7355398164719776,67.2,0.7288349008754221,-0.006704915596555505,0.911563921680771
PAK,47.2,0.7355398164719775,77.2,0.7267071721959127,-0.008832644276064783,1.2008383609239035
PAK,47.2,0.7355398164719775,97.2,0.7267071721959127,-0.008832644276064783,1.2008383609239035
PAN,19.8,2.7801881555132772,29.8,2.749820891031611,-0.03036726448166638,1.0922737161312734
PAN,19.8,2.780188155513278,39.8,2.7503565240649435,-0.029831631448334672,1.0730076447947157
PAN,19.8,2.7801881555132777,49.8,2.7503565240649452,-0.029831631448332452,1.073007644794636
PAN,19.8,2.7801881555132772,69.8,2.7503565240649444,-0.029831631448332896,1.0730076447946522
PER,28.6,2.100271504611067,38.6,2.100114666759638,-0.00015683785142872608,0.007467503657712562
PER,28.6,2.100271504611068,48.6,2.091551437643329,-0.008720066967738749,0.41518760544025696
PER,28.6,2.1002715046110674,58.6,2.091551437643329,-0.008720066967738305,0.4151876054402359
PER,28.6,2.100271504611067,78.6,2.0915514376433304,-0.008720066967736528,0.41518760544015143
PHL,32.4,1.1010282829787157,42.4,1.0875157890720724,-0.01351249390664333,1.2272612897905497
PHL,32.4,1.101028282978716,52.4,1.0804053458474059,-0.020622937131310026,1.8730615234984558
